State,Crop,Fertilizer_Type,Fertilizer_Used_kg_per_ha,Rainfall_mm,Soil_Nitrogen_Level,Soil_Phosphorus_Level,Soil_Potassium_Level,Crop_Yield_ton_per_ha
Andhra Pradesh,Mango,Yara,199.43,1052.3,0.438,19.1,221.6,16.11
Tamil Nadu,Mango,Other,208.16,911.8,0.523,26.2,141.2,15.9
Andhra Pradesh,Rice,Other,207.77,823.2,0.457,19.9,212.7,5.1
Karnataka,Mango,Yara,119.2,1011.9,0.489,15.6,212.6,14.88
Telangana,Cotton,Yara,204.68,777.9,0.46,12.2,163.4,12.32
Gujarat,Cotton,Other,225.85,917.1,0.444,18.8,160.4,11.76
Karnataka,Cotton,Yara,190.31,723.7,0.466,18.5,176.5,12.54
Telangana,Rice,Yara,207.92,967.8,0.485,20.7,203.2,5.59
Maharashtra,Cotton,Yara,174.67,859.0,0.509,16.4,206.7,12.2
Maharashtra,Rice,Yara,151.99,978.4,0.419,21.3,162.4,4.52
Maharashtra,Mango,Other,172.63,942.4,0.494,29.1,222.5,15.79
Andhra Pradesh,Cotton,Other,217.55,1015.8,0.463,21.3,217.4,12.67
Andhra Pradesh,Mango,Yara,172.25,946.1,0.383,15.9,192.5,13.72
Tamil Nadu,Mango,Yara,169.72,819.8,0.442,21.6,227.7,14.99
Maharashtra,Cotton,Yara,154.62,817.8,0.504,24.0,181.2,11.58
Maharashtra,Mango,Yara,190.14,1097.5,0.548,12.2,174.7,15.47
Telangana,Mango,Yara,175.88,1040.1,0.448,20.9,200.2,15.64
Maharashtra,Rice,Other,227.64,943.1,0.395,17.3,207.8,6.13
Andhra Pradesh,Rice,Other,194.98,961.7,0.512,20.3,213.4,6.08
Gujarat,Rice,Yara,169.3,955.6,0.502,22.1,217.3,7.49
Gujarat,Mango,Other,202.2,950.2,0.443,20.7,209.3,14.21
Telangana,Cotton,Other,229.89,1078.9,0.478,19.3,187.1,10.74
Telangana,Mango,Yara,140.1,897.5,0.517,17.1,170.8,15.7
Andhra Pradesh,Rice,Yara,140.44,972.0,0.466,20.2,208.2,4.65
Telangana,Cotton,Yara,262.03,909.4,0.38,19.9,170.7,13.81
Telangana,Mango,Other,195.66,974.0,0.427,23.1,210.9,14.89
Telangana,Cotton,Yara,212.89,866.5,0.482,15.7,163.9,11.54
Gujarat,Cotton,Other,230.54,1006.6,0.402,25.5,208.1,12.01
Telangana,Cotton,Yara,158.01,919.5,0.422,19.5,158.8,13.8
Tamil Nadu,Rice,Yara,184.5,914.1,0.468,12.5,209.3,4.55
Andhra Pradesh,Mango,Yara,251.67,1084.3,0.518,23.3,190.3,16.34
Tamil Nadu,Rice,Yara,140.76,700.9,0.407,23.4,225.6,3.73
Maharashtra,Cotton,Other,183.38,834.7,0.538,21.6,164.8,12.89
Karnataka,Rice,Other,274.28,1003.2,0.374,18.1,215.3,5.34
Maharashtra,Mango,Other,224.47,960.0,0.426,11.6,181.6,15.64
Tamil Nadu,Mango,Other,195.51,853.4,0.453,29.4,198.1,16.02
Andhra Pradesh,Rice,Other,202.44,861.5,0.456,22.6,221.7,3.95
Maharashtra,Mango,Yara,193.39,1013.6,0.475,24.2,176.6,14.38
Andhra Pradesh,Rice,Other,182.97,920.8,0.494,18.1,177.6,4.7
Karnataka,Cotton,Yara,193.46,892.1,0.339,25.6,227.4,13.81
Telangana,Cotton,Yara,159.92,1016.2,0.528,18.2,181.8,12.18
Maharashtra,Mango,Other,114.02,892.3,0.421,18.8,181.8,15.32
Andhra Pradesh,Cotton,Yara,182.91,959.5,0.409,28.4,169.9,10.87
Telangana,Mango,Other,263.48,940.5,0.455,20.3,184.8,17.06
Gujarat,Mango,Other,144.64,907.9,0.503,20.9,183.7,15.11
Maharashtra,Mango,Other,246.43,804.6,0.333,18.6,169.6,16.4
Telangana,Rice,Other,189.42,899.5,0.416,19.8,215.4,5.86
Karnataka,Cotton,Yara,136.63,815.6,0.433,21.8,191.4,12.47
Telangana,Mango,Other,216.58,905.4,0.564,21.6,181.4,17.23
Karnataka,Cotton,Other,250.29,829.8,0.443,17.6,183.8,11.9
Gujarat,Cotton,Other,236.14,719.0,0.354,21.4,201.4,13.35
Karnataka,Mango,Other,258.96,727.0,0.457,24.1,183.8,14.45
Tamil Nadu,Mango,Other,140.04,1035.4,0.444,25.0,158.1,14.14
Tamil Nadu,Mango,Yara,225.49,931.2,0.434,13.6,162.6,16.02
Maharashtra,Cotton,Other,78.26,873.2,0.424,23.6,178.7,13.5
Karnataka,Mango,Other,166.23,968.6,0.503,13.0,166.3,12.89
Gujarat,Mango,Other,230.31,889.6,0.461,12.5,209.4,16.14
Gujarat,Mango,Other,204.48,851.9,0.393,17.6,153.6,16.11
Maharashtra,Rice,Yara,127.08,1050.0,0.405,22.2,175.0,6.29
Telangana,Rice,Yara,182.28,935.3,0.481,17.9,164.4,3.76
Tamil Nadu,Mango,Other,196.25,796.5,0.422,15.2,229.3,15.09
Maharashtra,Cotton,Yara,238.93,880.3,0.389,20.2,193.6,12.61
Tamil Nadu,Cotton,Other,206.72,1059.7,0.437,20.5,207.3,12.9
Telangana,Rice,Other,195.52,804.4,0.37,20.8,174.9,3.64
Gujarat,Rice,Yara,133.18,920.7,0.433,11.6,216.9,3.24
Gujarat,Rice,Other,283.1,1001.5,0.428,26.3,182.2,5.46
Tamil Nadu,Cotton,Other,133.02,994.1,0.451,20.5,182.8,11.39
Tamil Nadu,Cotton,Yara,215.66,895.9,0.459,23.6,189.8,12.8
Tamil Nadu,Rice,Other,203.48,975.1,0.367,22.2,176.7,5.88
Tamil Nadu,Rice,Other,143.04,904.8,0.463,16.4,202.8,2.97
Telangana,Rice,Other,230.87,731.5,0.413,11.4,229.9,7.32
Gujarat,Mango,Other,178.93,976.0,0.505,23.1,175.5,17.5
Telangana,Cotton,Yara,185.09,908.9,0.474,26.3,187.6,12.17
Maharashtra,Mango,Other,218.06,947.5,0.421,17.3,204.8,15.67
Maharashtra,Mango,Other,242.04,859.2,0.348,16.0,152.6,15.23
Maharashtra,Mango,Yara,172.82,982.3,0.495,20.4,172.3,15.3
Tamil Nadu,Rice,Yara,207.49,1009.0,0.535,19.9,206.6,6.39
Telangana,Rice,Yara,182.15,852.2,0.474,21.3,210.8,4.46
Andhra Pradesh,Mango,Other,201.93,1150.6,0.399,31.9,218.3,15.0
Telangana,Rice,Yara,192.4,1087.7,0.411,15.0,154.4,6.81
Gujarat,Cotton,Yara,188.4,787.5,0.572,20.5,192.2,12.7
Andhra Pradesh,Mango,Other,178.91,1030.2,0.419,18.0,198.4,14.73
Maharashtra,Rice,Other,288.85,952.4,0.421,19.5,211.4,5.56
Karnataka,Cotton,Yara,173.7,805.2,0.372,8.9,193.2,12.62
Telangana,Rice,Yara,194.15,747.0,0.502,17.2,171.9,4.27
Gujarat,Mango,Yara,171.93,789.3,0.579,20.2,190.3,14.78
Telangana,Rice,Other,179.92,845.3,0.448,17.8,175.7,5.05
Tamil Nadu,Rice,Yara,252.9,1095.0,0.422,5.7,182.9,6.16
Karnataka,Rice,Yara,155.14,992.2,0.453,23.8,214.4,2.67
Telangana,Rice,Yara,257.14,914.9,0.491,12.5,192.9,6.76
Gujarat,Rice,Other,200.46,906.2,0.365,16.4,194.6,4.49
Maharashtra,Rice,Yara,129.91,1076.5,0.388,16.7,216.3,2.92
Andhra Pradesh,Mango,Yara,217.4,683.0,0.362,17.8,209.4,15.13
Maharashtra,Cotton,Yara,231.04,908.8,0.41,26.5,202.3,11.32
Tamil Nadu,Cotton,Other,210.41,962.3,0.498,22.2,216.9,12.49
Maharashtra,Cotton,Other,270.2,971.8,0.427,22.1,222.4,14.54
Maharashtra,Mango,Yara,215.59,925.7,0.52,18.0,152.9,14.39
Tamil Nadu,Rice,Yara,185.6,824.5,0.419,14.4,171.5,3.63
Maharashtra,Rice,Yara,196.23,913.3,0.476,19.5,189.0,4.06
Gujarat,Rice,Other,209.92,871.9,0.469,15.8,147.6,4.92
Maharashtra,Mango,Yara,203.04,1060.1,0.41,19.7,183.8,14.73
Telangana,Rice,Yara,140.42,877.4,0.503,20.5,206.3,5.2
Karnataka,Cotton,Other,184.12,963.3,0.374,19.8,206.4,12.24
Tamil Nadu,Rice,Yara,155.42,961.6,0.44,16.1,203.1,5.61
Andhra Pradesh,Rice,Yara,208.15,848.4,0.455,18.2,181.3,4.92
Gujarat,Rice,Yara,104.12,1029.8,0.522,12.4,193.5,5.76
Tamil Nadu,Mango,Yara,206.03,928.3,0.383,22.3,204.3,15.34
Telangana,Rice,Yara,257.93,835.0,0.416,13.9,184.7,5.05
